lon,lat,name
23.850000,55.166667,DASIUNAI
24.283333,55.083333,JONAVA
24.750000,55.250000,UKMERGE
26.747500,53.478611,STOWBTSY (STOLBTSY)
38.720000,58.180000,RYBINSKAYA GES
33.835278,56.665556,YELTSY
34.934167,56.505000,STARITSA
36.083333,52.983333,ZHILINO (KOSTOMAROVO)
42.041667,55.565556,MUROM
36.270556,54.535833,KALUGA
36.595000,55.049444,SPAS-ZAGORYE
46.045556,55.538889,KNYAZHYA
43.806944,57.879722,MAKARYEV
48.283333,54.250000,VYRYPAYEVKA
52.428889,55.756111,NABEREZHNYYE CHELNY
49.658333,58.596944,KIROV
55.542778,55.421111,BIRSK
55.992222,54.542778,UFA
59.339167,57.228611,STAROUTKINSK
57.230833,61.283611,PETRETSOVO
44.585833,48.804722,VOLGOGRAD POWER PLANT
40.647222,47.540833,RAZDORSKAYA
41.146667,49.793333,KAZANSKAYA
43.118333,49.889722,ARCHEDINSKAYA
42.747778,52.604167,CHUTANOVKA
29.266667,52.050000,MAZYR (MOZYR)
31.300000,51.416667,KOLYCHOVKA (CHERNIGOV)
32.065833,54.148056,USKOSY
31.266667,47.700000,ALEKSANDROVKA
31.466667,50.083333,PEREYASLAV-KHMELNYTSKYY
32.350000,47.516667,NOVOGOROZHENOYE
35.150000,47.920000,DNEPR POWER PLANT
30.516667,50.433333,KIEV (KYYIV)
33.180000,46.770000,KAKHOVSKOYE VODOKHRANILISHCHE GES
25.800000,49.016667,CHORTKIV (CHORTKOV)
29.471111,46.830556,TIGHINA (BENDERY)
38.229167,45.191111,TIKHOVSKY
38.976944,45.032778,KRASNODAR
41.915000,43.801944,IMENI KOSTA KHETAGUROVA
42.854722,45.335278,SVETLOGRAD
43.345278,44.227222,ALEKSANDRIYSKAYA
41.800000,42.220000,SAKOCHAKIDZE
42.705556,42.420556,NAMOKHVANI
48.525278,40.079722,SURRA
