site,latDD,lonDD
b0008837,55.25,0.25
b0008849,55.4667,1
b0008849,55.4667,-1
b0008850,55.4667,1
b0008850,55.4667,-1
b0008862,53.1667,-1.03333
b0008862,53.1667,1.03333
b0008874,53.6833,1.71667
b0008886,55.25,0.25
b0008898,55.4667,1
b0008898,55.4667,-1
b0008905,55.4667,1
b0008905,55.4667,-1
b0008917,53.6833,1.71667
b0008929,55.25,0.25
b0008930,55.25,0.25
b0008942,55.4667,1
b0008942,55.4667,-1
b0008954,55.4667,1
b0008954,55.4667,-1
b0008966,53.55,0.533333
b0008978,53.55,0.533333
b0008991,53.55,0.533333
b0009005,53.55,0.533333
b0009017,53.55,0.533333
b0009029,52.9667,2.75
b0009030,53.45,2.7
b0009042,53.45,2.73333
b0009054,53.55,0.533333
b0009066,53.25,0.5
b0009078,53.1867,0.59
b0009091,53.1583,0
b0009091,53.1583,0.5
b0009109,53.1417,-0.155
b0009109,53.1417,0.655
b0009110,53.8333,2.48333
b0009122,53,-2.05
b0009122,53,2.55
b0009134,53,-2.05
b0009134,53,2.55
b0009146,52.3867,1.80333
b0009158,52.3867,1.80333
b0009171,52.3867,1.80333
b0009183,55.0667,-1.1
b0009183,55.0667,1.26667
b0009195,55.0667,-1.1
b0009195,55.0667,1.26667
b0009202,55.0667,-1.1
b0009202,55.0667,1.26667
b0009214,55.0667,-1.1
b0009214,55.0667,1.26667
b0009226,52.3867,1.80333
b0009238,52.3867,1.80333
b0009251,55.0667,-1.1
b0009251,55.0667,1.26667
b0009263,55.0667,-1.1
b0009263,55.0667,1.26667
b0009275,55.0667,-1.1
b0009275,55.0667,1.26667
b0009287,52.7167,2.35
b0009299,52.7167,2.35
b0009306,52.3333,2
b0009318,53.9767,0.686667
b0009331,53.9767,0.686667
b0009343,54.0567,-1.08333
b0009343,54.0567,1.25
b0009355,54.0567,-1.08333
b0009355,54.0567,1.25
b0009367,54.2883,0.545
b0009379,54.2883,0.545
b0009380,54.4233,1.39667
b0009392,54.4233,1.39667
b0009411,54.4633,1.66333
b0009423,54.6133,0.433333
b0009435,54.6133,0.433333
b0009447,54.7033,0.975
b0009459,54.7033,0.975
b0009460,54.4933,0.753333
b0009472,51.7233,-1.03667
b0009472,51.7233,1.03667
b0009484,51.75,-1.02
b0009484,51.75,1.02
b0009496,51.7583,0.896667
b0009503,51.7483,0.898333
b0009515,53.9783,0.681667
b0009527,53.9783,0.681667
b0009539,54.0617,-1.075
b0009539,54.0617,1.24167
b0009540,54.0617,-1.075
b0009540,54.0617,1.24167
b0009552,54.2917,0.541667
b0009564,54.2917,0.541667
b0009576,54.4167,1.38333
b0009588,54.4167,1.38333
b0009607,54.4133,1.66333
b0009619,52.3833,1.8
b0009620,52.3667,-2.05
b0009620,52.3667,2.05
b0009632,52.3667,-2.05
b0009632,52.3667,2.05
b0009644,51.7233,-1.04
b0009644,51.7233,1.04
b0009656,51.7483,-1.02667
b0009656,51.7483,1.02667
b0009668,51.755,0.895
b0009681,51.7483,0.898333
b0009693,55.085,1.00167
b0009693,55.085,1.15167
b0009700,55.085,1.00167
b0009700,55.085,1.15167
b0009712,55.1,1.00333
b0009724,55.1,1.00333
b0009736,55.1267,-0.0333333
b0009736,55.1267,0.7
b0009748,55.1267,-0.0333333
b0009748,55.1267,0.7
b0009761,55.1683,0.333333
b0009773,55.1917,-0.0333333
b0009773,55.1917,0.0333333
b0009785,55.1917,-0.0333333
b0009785,55.1917,0.0333333
b0009797,55.2717,0.683333
b0009804,55.3333,1.53333
b0009816,55.3333,1.53333
b0009828,54.3733,3.53833
b0009841,54.3783,3.54
b0009853,54.3733,3.53833
b0009865,54.6167,4.46667
b0009877,54.6167,4.46667
b0009889,54.7333,3.88333
b0009890,54.4,3.55
b0009908,54.2333,3.55
b0009921,54.5,4.4
b0009933,54.5,4.4
b0009945,54.5,4.4
b0009957,54.5,4.4
b0009969,53.6467,3.3
b0009970,53.65,3.93333
b0009982,54.0167,-3
b0009982,54.0167,3.33333
b0009994,54.2,4.23333
b0010006,54.2167,3.86667
b0010018,52.0333,-1.03333
b0010018,52.0333,1.86667
b0010031,52.0333,-1.03333
b0010031,52.0333,1.86667
b0010043,52.3667,-2.01667
b0010043,52.3667,2.01667
b0010055,52.3667,2.01667
b0010067,60.3333,5.46667
b0010079,60.3333,5.46667
b0010080,54.9833,1.31667
b0010092,54.9833,1.31667
b0010111,54.85,-1.13333
b0010111,54.85,1.13333
b0010123,54.85,-1.13333
b0010123,54.85,1.13333
b0010135,54.7333,-1.15
b0010135,54.7333,1.15
b0010147,54.7333,-1.15
b0010147,54.7333,1.15
b0010159,54.6167,0.983333
b0010160,54.9833,1.33333
b0010172,54.9833,1.33333
b0010184,55.0333,-1.03333
b0010184,55.0333,1.2
b0010196,54.8833,1.3
b0010203,54.8833,1.3
b0010215,54.95,1.16667
b0010227,54.75,-1.15
b0010227,54.75,1.15
b0010239,54.75,-1.15
b0010239,54.75,1.15
b0010240,54.6333,0.966667
b0010307,54.75,0.933333
b0010319,54.75,0.933333
b0010320,54.75,0.933333
b0010332,54.75,0.933333
b0010344,54.75,0.933333
b0010356,54.75,0.933333
b0010368,54.75,0.933333
b0010381,54.75,0.933333
b0010393,55.0667,-1.1
b0010393,55.0667,1.26667
b0010400,55.0667,-1.1
b0010400,55.0667,1.26667
b0010412,55.0667,-1.1
b0010412,55.0667,1.26667
b0010424,55.0667,-1.1
b0010424,55.0667,1.26667
b0010436,55.0667,-1.1
b0010436,55.0667,1.26667
b0010448,55.0667,-1.1
b0010448,55.0667,1.26667
b0010461,55.0667,-1.1
b0010461,55.0667,1.26667
b0010473,55.0667,-1.1
b0010473,55.0667,1.26667
b0010485,55.0667,-1.1
b0010485,55.0667,1.26667
b0010497,55.0667,-1.1
b0010497,55.0667,1.26667
b0010504,55.0667,-1.1
b0010504,55.0667,1.26667
b0010516,53.55,0.533333
b0010528,53.55,0.533333
b0010541,53.55,0.533333
b0010553,53.55,0.533333
b0010565,52.5167,3.2
b0010577,52.5167,3.2
b0010589,52.4333,3.43333
b0010590,52.3667,-3.05
b0010590,52.3667,3.05
b0010608,52.3667,-3.05
b0010608,52.3667,3.05
b0010621,52.3667,-3.05
b0010621,52.3667,3.05
b0010633,52.3667,-3.05
b0010633,52.3667,3.05
b0010645,52.3,2.56667
b0010657,52.3,2.56667
b0010669,52.2167,2.88333
b0010670,52.2167,2.88333
b0010682,52.2,2.88333
b0010694,52.2,2.88333
b0010701,52.1333,3
b0010701,52.1333,3.11667
