Filename	OriginatorsIdentifier	latDD	lonDD	Site	StartDate	StartTime	EndDate	EndTime											
cmd\b0005225.lst	A/328/T	54.2283	0.0283	PJONSIS/SA	15/01/71	08:21:00	20/03/71	09:07:00											
cmd\b0005237.lst	A/098/B	54.2283	0.0283	PJONSIS/SA	15/01/71	08:23:00	20/03/71	09:04:00											
cmd\b0005249.lst	B/287/T	54.3833	1.1083	PJONSIS/SB	15/01/71	13:19:00	20/03/71	15:00:00											
cmd\b0005250.lst	B/440/B	54.3833	1.1083	PJONSIS/SB	15/01/71	13:19:00	20/03/71	14:55:00											
cmd\b0005262.lst	C/322/T	55	4	PJONSIS/SC	16/01/71	07:59:00	13/02/71	12:19:00											
cmd\b0005274.lst	A/328/T	54.2283	0.0283	PJONSIS/SA	27/05/71	19:28:00	19/07/71	09:13:00											
cmd\b0005286.lst	A/686/B1	54.2283	0.0283	PJONSIS/SA	27/05/71	19:30:00	20/06/71	14:40:00											
cmd\b0005298.lst	A/686/B2	54.2283	0.0283	PJONSIS/SA	27/06/71	03:30:00	12/07/71	20:10:00											
cmd\b0005305.lst	B/409/T	54.3833	1.1083	PJONSIS/SB	27/05/71	13:01:00	31/05/71	17:11:00											
cmd\b0005317.lst	B/583/B	54.3833	1.1083	PJONSIS/SB	27/05/71	13:03:00	10/07/71	07:53:00											
cmd\b0005329.lst	C/253/T	55	4	PJONSIS/SC	27/05/71	02:28:00	18/07/71	10:50:00											
cmd\b0005330.lst	C/429/B	55	4	PJONSIS/SC	27/05/71	02:25:00	11/06/71	17:25:00											
cmd\b0005342.lst	A/309/T	54.2283	0.0283	PJONSIS/SA	19/07/71	11:54:00	09/09/71	01:44:00											
cmd\b0005354.lst	A/219/B	54.2283	0.0283	PJONSIS/SA	19/07/71	11:51:00	29/07/71	10:41:00											
cmd\b0005366.lst	B/353/T	54.3833	1.1083	PJONSIS/SB	19/07/71	04:55:00	25/09/71	23:23:00											
cmd\b0005378.lst	A/412/T	54.2283	0.0283	PJONSIS/SA	26/09/71	15:29:00	07/10/71	20:39:00											
cmd\b0005391.lst	A/686/B	54.2283	0.0283	PJONSIS/SA	26/09/71	15:34:00	23/11/71	10:16:00											
cmd\b0005409.lst	B/166/T	54.3833	1.1083	PJONSIS/SB	26/09/71	01:55:00	07/12/71	15:27:00											
cmd\b0005410.lst	B/291/B	54.3833	1.1083	PJONSIS/SB	26/09/71	01:47:00	15/10/71	10:07:00											
cmd\b0005422.lst	C/457/B	55	4	PJONSIS/SC	25/09/71	13:04:00	11/10/71	14:00:00											
cmd\b0005434.lst	A/098/T1	54.2283	0.0283	PJONSIS/SA	23/11/71	10:23:00	09/01/72	11:26:00											
cmd\b0005446.lst	A/098/T2	54.2283	0.0283	PJONSIS/SA	18/01/72	00:17:00	22/01/72	22:36:00											
cmd\b0005458.lst	A/293/B	54.2283	0.0283	PJONSIS/SA	23/11/71	10:24:00	22/01/72	22:34:00											
cmd\b0005471.lst	B/065/T	54.3833	1.1083	PJONSIS/SB	07/12/71	17:46:00	09/01/72	14:56:00											
cmd\b0005483.lst	B/300/B	54.3833	1.1083	PJONSIS/SB	07/12/71	17:45:00	22/01/72	13:51:00											
cmd\b0005495.lst	A/562/B	54.2283	0.0283	PJONSIS/SA	22/01/72	21:09:00	03/04/72	07:38:00											
cmd\b0005502.lst	A/295/T	54.2283	0.0283	PJONSIS/SA	22/01/72	21:03:00	16/02/72	12:23:00											
cmd\b0005514.lst	B/465/T	54.3833	1.1083	PJONSIS/SB	22/01/72	09:58:00	09/02/72	10:18:00											
cmd\b0005526.lst	B/588/B	54.3833	1.1083	PJONSIS/SB	22/01/72	09:51:00	28/01/72	22:11:00											
cmd\b0005538.lst	A/172/T	54.2283	0.0283	PJONSIS/SA	06/04/72	20:15:00	15/06/72	12:55:00											
cmd\b0005551.lst	A/291/B	54.2283	0.0283	PJONSIS/SA	06/04/72	20:21:00	15/06/72	12:50:00											
cmd\b0005563.lst	B/436/T	54.3833	1.1083	PJONSIS/SB	07/04/72	02:26:00	15/06/72	06:05:00											
cmd\b0005575.lst	B/353/B	54.3833	1.1083	PJONSIS/SB	07/04/72	02:22:00	06/05/72	09:32:00											
cmd\b0005587.lst	C/412/T	55	4	PJONSIS/SC	07/04/72	19:55:00	18/04/72	17:35:00											
cmd\b0005599.lst	C/300/B	55	4	PJONSIS/SC	07/04/72	20:00:00	19/05/72	00:40:00											
cmd\b0005606.lst	A/322/T	54.2283	0.0283	PJONSIS/SA	15/06/72	15:50:00	23/08/72	19:09:00											
cmd\b0005618.lst	A/429/B	54.2283	0.0283	PJONSIS/SA	15/06/72	15:51:00	23/08/72	19:10:00											
cmd\b0005631.lst	B/295/T	54.3833	1.1083	PJONSIS/SB	15/06/72	09:46:00	23/08/72	15:06:00											
cmd\b0005643.lst	B/197/B	54.3833	1.1083	PJONSIS/SB	15/06/72	09:47:00	23/08/72	15:46:00											
cmd\b0005655.lst	A/436/T	54.2283	0.0283	PJONSIS/SA	23/08/72	21:04:00	23/09/72	10:04:00											
cmd\b0005667.lst	A/431/B	54.2283	0.0283	PJONSIS/SA	23/08/72	20:55:00	09/11/72	10:55:00											
cmd\b0005679.lst	C/588/T	55	4	PJONSIS/SC	23/08/72	07:02:00	28/11/72	13:12:00											
cmd\b0005680.lst	A/562/T	54.2283	0.0283	PJONSIS/SA	12/11/72	15:59:00	03/01/73	17:03:00											
cmd\b0005692.lst	A/197/B	54.2283	0.0283	PJONSIS/SA	12/11/72	15:58:00	25/11/72	18:08:00											
cmd\b0005711.lst	B/465/T	54.3833	1.1083	PJONSIS/SB	17/12/72	14:23:00	03/01/73	11:35:00											
cmd\b0005723.lst	B/500/B	54.3833	1.1083	PJONSIS/SB	17/12/72	14:26:00	03/01/73	11:33:00											
cmd\b0005735.lst	A/431/B	54.2283	0.0283	PJONSIS/SA	03/01/73	19:33:00	25/02/73	12:13:00											
cmd\b0005747.lst	B/436/T	54.3833	1.1083	PJONSIS/SB	03/01/73	11:14:00	13/03/73	21:14:00											
cmd\b0005759.lst	A/197/T	54.2283	0.0283	PJONSIS/SA	28/03/73	07:51:00	27/04/73	01:41:00											
cmd\b0005760.lst	A/322/B	54.2283	0.0283	PJONSIS/SA	28/03/73	07:42:00	27/04/73	02:32:00											
cmd\b0005772.lst	B/132/T	54.3833	1.1083	PJONSIS/SB	28/03/73	14:12:00	29/04/73	14:32:00											
cmd\b0005784.lst	B/122/B	54.3833	1.1083	PJONSIS/SB	28/03/73	14:05:00	27/04/73	20:55:00											
cmd\b0005796.lst	A/053/T	54.2283	0.0283	PJONSIS/SA	07/06/73	09:18:00	26/07/73	20:08:00											
cmd\b0005803.lst	A/234/B	54.2283	0.0283	PJONSIS/SA	07/06/73	09:17:00	27/06/73	03:37:00											
cmd\b0005815.lst	A/132/T	54.2283	0.0283	PJONSIS/SA	05/09/73	09:18:00	25/10/73	08:23:00											
cmd\b0005827.lst	A/390/B	54.2283	0.0283	PJONSIS/SA	05/09/73	09:13:00	25/10/73	08:26:00											
cmd\b0005839.lst	B/197/T	54.3833	1.1083	PJONSIS/SB	20/09/73	11:02:00	25/10/73	12:42:00											
cmd\b0005840.lst	B/206/B	54.3833	1.1083	PJONSIS/SB	20/09/73	10:45:00	25/10/73	12:45:00											
cmd\b0005852.lst	A/206/T	52.3666	2	SA	20/04/74	13:46:00	01/05/74	00:26:00											
cmd\b0005864.lst	A/322/B	52.3666	2	SA	20/04/74	13:51:00	01/05/74	00:21:00											
cmd\b0005876.lst	A/278/T	54.2216	0.0299	SA	12/03/74	15:24:00	15/03/74	06:44:00											
cmd\b0005888.lst	A/053/B	54.2216	0.0299	SA	12/03/74	15:29:00	15/03/74	06:29:00											
cmd\b0005907.lst	B/436/T	54.2866	0.1233	SB	12/03/74	13:54:00	15/03/74	22:55:00											
cmd\b0005919.lst	B/390/B	54.2866	0.1233	SB	12/03/74	14:00:00	15/03/74	22:51:00											
cmd\b0005920.lst	C/153/T	54.3624	-0.1108	SC	12/03/74	18:17:00	15/03/74	03:17:00											
cmd\b0005932.lst	3/132/T	51.9483	1.7549	3/132/T	14/08/73	19:33:00	15/08/73	16:54:00											
cmd\b0005944.lst	A/569/T	52.8816	1.4566	A/569/T	03/05/73	17:13:00	06/05/73	10:20:00											
cmd\b0005956.lst	H/053/B	57.4166	2.5666	SH	02/04/73	12:43:00	16/05/73	13:43:00											
cmd\b0005968.lst	E/260/M	57.25	0.9833	SE	03/04/73	16:01:00	18/05/73	20:01:00											
cmd\b0005981.lst	E/249/T	57.25	0.9833	SE	03/04/73	16:03:00	22/05/73	13:53:00											
cmd\b0005993.lst	D/234/B	57.625	-0.1166	SD	03/04/73	22:26:00	23/04/73	23:46:00											
cmd\b0006007.lst	D/220/M	57.625	-0.1166	SD	03/04/73	22:29:00	28/05/73	21:39:00											
cmd\b0006019.lst	D/431/T	57.625	-0.1166	SD	03/04/73	22:18:00	28/05/73	21:48:00											
cmd\b0006020.lst	A/132/T	52.2633	1.6666	A/132/T	09/03/73	08:36:00	13/03/73	08:36:00											
cmd\b0006032.lst	B/132/T	52.0499	1.7249	B/132/T	17/03/73	16:24:00	18/03/73	18:12:00											
cmd\b0006044.lst	J/217/B	57.2833	4.2666	SJ	02/04/73	06:13:00	13/04/73	08:33:00											
cmd\b0006056.lst	J/217/B	57.2833	4.2666	SJ	24/05/73	08:33:00	26/05/73	11:33:00											
cmd\b0006068.lst	A/803/T	52.3666	2.0166	A/803/T	23/03/72	10:51:00	22/04/72	06:35:00											
cmd\b0006081.lst	J/500/T	52.1999	1.7999	J/500/T	30/08/72	09:11:00	21/09/72	15:11:00											
cmd\b0006093.lst	K/234/T	52.1833	1.9166	SK	30/08/72	07:34:00	01/10/72	02:34:00											
cmd\b0006100.lst	K/465/B	52.1833	1.9166	SK	30/08/72	07:31:00	27/09/72	19:11:00											
cmd\b0006112.lst	B/166/T	52.1999	1.7999	SB	14/02/72	00:31:00	19/02/72	03:11:00											
cmd\b0006124.lst	B/353/B	52.1999	1.7999	SB	14/02/72	00:15:00	02/03/72	12:05:00											
cmd\b0006136.lst	C/328/T	52.1833	1.9166	SC	13/02/72	23:21:00	22/02/72	16:21:00											
cmd\b0006148.lst	C/291/B	52.1833	1.9166	SC	13/02/72	23:25:00	09/03/72	18:51:00											
cmd\b0006161.lst	D/429/T	54.4833	0.2999	SD	13/10/71	06:19:00	16/10/71	09:49:00											
cmd\b0006173.lst	E/328/T	54.6333	2.5499	E/328/T	12/10/71	15:15:00	25/10/71	16:35:00											
cmd\b0006185.lst	F/277/T	55.2666	4.4833	SF	12/10/71	06:17:00	25/10/71	06:38:00											
