LEFT_FID,RIGHT_FID,ORIG_FID,POINT_X,POINT_Y
-1,0,1,3.86948378006,51.672104379
-1,0,1,3.87309490328,51.671830372
-1,0,1,3.87809525835,51.6698823571
-1,0,1,3.8797622105,51.6679366872
-1,0,1,3.88226165935,51.664887784
-1,0,1,3.88198366365,51.6607131726
-1,0,1,3.88281723741,51.657105822
-1,0,1,3.88587301427,51.6546010524
-1,0,1,3.88976173508,51.6523822657
-1,0,1,3.89226132816,51.6493286152
-1,0,1,3.89448338893,51.6465512217
-1,0,1,3.89615022053,51.6432161399
-1,0,1,3.89670593688,51.6393274685
-1,0,1,3.89726154259,51.6357175142
-1,0,1,3.89976232861,51.6326591612
-1,0,1,3.9044840084,51.6309954549
-1,0,1,3.91087329083,51.6298806064
-1,0,1,3.9175395794,51.6287676836
-1,0,1,3.92392778105,51.6279352907
-1,0,1,3.93115025037,51.627379268
-1,0,1,3.93726092171,51.6282208506
-1,0,1,3.94337258258,51.6284956201
-1,0,1,3.94809490341,51.6268301477
-1,0,1,3.95142786153,51.624325927
-1,0,1,3.95448383623,51.6215496582
-1,0,1,3.95781695915,51.6190497716
-1,0,1,3.96087340783,51.616547614
-1,0,1,3.96392867375,51.614049822
-1,0,1,3.96809520899,51.6118216032
-1,0,1,3.97476192431,51.6115506268
-1,0,1,3.98059517819,51.6121045708
-1,0,1,3.98615128887,51.6129391928
-1,0,1,3.99087254339,51.6146078951
-1,0,1,3.99615001787,51.6154400412
-1,0,1,4.00281692725,51.6154416743
-1,0,1,4.00948364109,51.6151553309
-1,0,1,4.01503874934,51.6162719262
-1,0,1,4.020316842,51.6171028985
-1,0,1,4.02503980925,51.6184914913
-1,0,1,4.03004033377,51.6198818987
-1,0,1,4.03476040019,51.6215488519
-1,0,1,4.03948355988,51.6229413849
-1,0,1,4.04476191736,51.6237712588
-1,0,1,4.0497618688,51.6251609177
-1,0,1,4.05503915921,51.6262735027
-1,0,1,4.06114953378,51.626546675
-1,0,1,4.06698402783,51.6271052819
-1,0,1,4.07198407075,51.6284939962
-1,0,1,4.07670533348,51.6298805324
-1,0,1,4.08087220077,51.631829432
-1,0,1,4.08503931849,51.6337737444
-1,0,1,4.08920584796,51.6357178312
-1,0,1,4.09253971772,51.6382135712
-1,0,1,4.09670522674,51.6401574862
-1,0,1,4.10031641441,51.6426594596
-1,0,1,4.10365067993,51.6451638401
-1,0,1,4.10448362962,51.6487707312
-1,0,1,4.10760411113,51.648179385
-1,0,1,4.1133727828,51.6479404972
-1,0,1,4.11642771865,51.6487702907
-1,0,1,4.11753761571,51.6471006999
-1,0,1,4.11726194162,51.6454398444
-1,0,1,4.11420681415,51.6423801875
-1,0,1,4.11198396538,51.6387685216
-1,0,1,4.11115115536,51.6343299352
-1,0,1,4.11253903702,51.630994277
-1,0,1,4.11392938479,51.6276630976
-1,0,1,4.11892795147,51.6259925501
-1,0,1,4.12365028241,51.6240457041
-1,0,1,4.12754012069,51.6218234119
-1,0,1,4.12901631672,51.6201861873
-1,0,1,4.13003980309,51.6190478744
-1,0,1,4.1322616781,51.6160007536
-1,0,1,4.13531739732,51.6134939435
-1,0,1,4.14031668688,51.6123800045
-1,0,1,4.14698393893,51.6123779657
-1,0,1,4.15448381366,51.6118189542
-1,0,1,4.16031623956,51.6121076933
-1,0,1,4.16642816554,51.6126675743
-1,0,1,4.17114978712,51.6140503163
-1,0,1,4.17563916794,51.6147203304
-1,0,1,4.17670582964,51.6148804528
-1,0,1,4.18253945822,51.6154378469
-1,0,1,4.18837295191,51.6140526454
-1,0,1,4.19309478176,51.6121075127
-1,0,1,4.19698379037,51.6098873447
-1,0,1,4.19948407993,51.6071102985
-1,0,1,4.2017058666,51.604048275
-1,0,1,4.20309438897,51.6007160165
-1,0,1,4.2064267259,51.5982135389
-1,0,1,4.20865054705,51.5951603977
-1,0,1,4.21004004662,51.5918280391
-1,0,1,4.20920551882,51.5873766198
-1,0,1,4.20896161041,51.587262247
-1,0,1,4.20031705592,51.5871035963
-1,0,1,4.19781808425,51.5901639113
-1,0,1,4.19726239899,51.5937708757
-1,0,1,4.19642764648,51.5965534492
-1,0,1,4.19087262916,51.5982104487
-1,0,1,4.18476071879,51.5976608041
-1,0,1,4.17920725584,51.5990565059
-1,0,1,4.17587380754,51.6015447353
-1,0,1,4.17031786621,51.6029356001
-1,0,1,4.16770480865,51.6028176823
-1,0,1,4.16420518746,51.6026546613
-1,0,1,4.16031699317,51.601546661
-1,0,1,4.15420641449,51.6012696191
-1,0,1,4.1489286259,51.6001569733
-1,0,1,4.14337218059,51.5993254485
-1,0,1,4.13753913858,51.5990494428
-1,0,1,4.13087382805,51.5990508497
-1,0,1,4.1233718913,51.5995994212
-1,0,1,4.11823456027,51.6008938045
-1,0,1,4.11781556868,51.6009966747
-1,0,1,4.11226231442,51.6023847595
-1,0,1,4.10753881634,51.6043222127
-1,0,1,4.10253775599,51.6059923115
-1,0,1,4.09698352244,51.6073840315
-1,0,1,4.09142884151,51.6087711375
-1,0,1,4.0869841965,51.6093338878
-1,0,1,4.07976000282,51.6098860511
-1,0,1,4.07364942235,51.6093260872
-1,0,1,4.06954725516,51.6086846561
-1,0,1,4.06837304353,51.6084974962
-1,0,1,4.06281699671,51.6076622406
-1,0,1,4.05809467803,51.6059964334
-1,0,1,4.05281627045,51.6051671631
-1,0,1,4.04781658155,51.6037731132
-1,0,1,4.04253949319,51.6026646442
-1,0,1,4.03781660934,51.6012723174
-1,0,1,4.03309491949,51.5998842281
-1,0,1,4.02809475985,51.598493866
-1,0,1,4.02420585944,51.596549635
-1,0,1,4.02138499697,51.5959852673
-1,0,1,4.01865119867,51.5954334731
-1,0,1,4.0139280042,51.5940447119
-1,0,1,4.00865081994,51.5932133666
-1,0,1,4.00365128849,51.591826566
-1,0,1,3.99892747434,51.5901628365
-1,0,1,3.99476192897,51.5882199861
-1,0,1,3.99142784657,51.5857169586
-1,0,1,3.99059422272,51.5821048293
-1,0,1,3.99281693912,51.5793300313
-1,0,1,3.99614851194,51.5768290357
-1,0,1,4.00170570469,51.5754374485
