"BODC reference","Oceanographic data type",Instrument,Platform,"Latitude A","Latitude B","Longitude A","Longitude B","Positional definition","Start date","End date","Series duration (days)","Sea floor depth (m)","Series depth minimum (m)","Series depth maximum (m)",Project,Country,Organisation,"Quality control (QC)","Series availability",Warnings,Licence
631982,"CTD or STD cast","CTD/STD cast","research vessel",56.3743,-99,-6.818,-999,"Fixed point",2003/11/28,-99,-99,78,75.29,3.96,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
1032374,"CTD or STD cast","CTD/STD cast","research vessel",55.83133,-99,-5.1735,-999,"Fixed point",2009/11/03,-99,-99,68,61.43,0.99,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
1032442,"CTD or STD cast","CTD/STD cast","research vessel",55.97217,-99,-5.1125,-999,"Fixed point",2009/11/03,-99,-99,50,42.6,0.99,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
1026971,"CTD or STD cast","CTD/STD cast","research vessel",55.92267,-99,-6.71267,-999,"Fixed point",2009/03/25,-99,-99,68,66.38,0.99,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
845691,"CTD or STD cast","CTD/STD cast","lowered unmanned submersible",56.08968,-99,-6.44348,-999,"Fixed point",2003/08/05,2003/08/05,0,40,40,4,"Northern Seas Programme (NSP)","United Kingdom","Dunstaffnage Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
1032386,"CTD or STD cast","CTD/STD cast","research vessel",55.93133,-99,-5.18517,-999,"Fixed point",2009/11/03,-99,-99,59,52.51,0.99,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
1026866,"CTD or STD cast","CTD/STD cast","research vessel",55.46317,-99,-4.8115,-999,"Fixed point",2009/03/23,-99,-99,63,61.43,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
572243,"CTD or STD cast","CTD/STD cast","research vessel",56.3693,-99,-6.824,-999,"Fixed point",2001/03/10,-99,-99,77,72.32,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
575401,"CTD or STD cast","CTD/STD cast","research vessel",55.4233,-99,-6.7213,-999,"Fixed point",2001/11/03,-99,-99,66,60.44,0.99,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
621103,"CTD or STD cast","CTD/STD cast","research vessel",53.7377,-99,-4.6378,-999,"Fixed point",2002/11/25,-99,-99,64,63.42,4.96,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
1032454,"CTD or STD cast","CTD/STD cast","research vessel",55.9715,-99,-4.76883,-999,"Fixed point",2009/11/03,-99,-99,72,67.37,0.99,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
657179,"CTD or STD cast","CTD/STD cast","research vessel",53.81367,-99,-4.86117,-999,"Fixed point",2004/11/24,-99,-99,58,57.48,3.96,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,Y,"BODC Data Licence Agreement"
575505,"CTD or STD cast","CTD/STD cast","research vessel",53.7513,-99,-5.5715,-999,"Fixed point",2001/11/05,-99,-99,102,99.09,3.96,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
623005,"CTD or STD cast","CTD/STD cast","research vessel",55.4485,-99,-4.8312,-999,"Fixed point",2002/03/07,-99,-99,63,60.43,3.96,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
845666,"CTD or STD cast","CTD/STD cast","lowered unmanned submersible",56.13815,-99,-6.5827,-999,"Fixed point",2003/08/05,2003/08/05,0,70,70,4,"Northern Seas Programme (NSP)","United Kingdom","Dunstaffnage Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
923334,"CTD or STD cast","CTD/STD cast","research vessel",55.98667,-99,-7.23233,-999,"Fixed point",2008/11/24,-99,-99,115,107.98,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
1026854,"CTD or STD cast","CTD/STD cast","research vessel",55.661,-99,-5.05983,-999,"Fixed point",2009/03/23,-99,-99,162,158.49,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
1026958,"CTD or STD cast","CTD/STD cast","research vessel",55.994,-99,-7.23467,-999,"Fixed point",2009/03/25,-99,-99,116,110.95,0.99,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
575413,"CTD or STD cast","CTD/STD cast","research vessel",54.5233,-99,-5.2307,-999,"Fixed point",2001/11/04,-99,-99,142,137.71,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
572231,"CTD or STD cast","CTD/STD cast","research vessel",55.8975,-99,-6.7287,-999,"Fixed point",2001/03/10,-99,-99,63,58.46,3.96,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
657167,"CTD or STD cast","CTD/STD cast","research vessel",54.03367,-99,-5.20067,-999,"Fixed point",2004/11/24,-99,-99,83,81.25,3.96,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,Y,"BODC Data Licence Agreement"
923346,"CTD or STD cast","CTD/STD cast","research vessel",55.9145,-99,-6.67333,-999,"Fixed point",2008/11/24,-99,-99,45,34.68,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
845678,"CTD or STD cast","CTD/STD cast","lowered unmanned submersible",56.11278,-99,-6.51503,-999,"Fixed point",2003/08/05,2003/08/05,0,44,44,4,"Northern Seas Programme (NSP)","United Kingdom","Dunstaffnage Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
623017,"CTD or STD cast","CTD/STD cast","research vessel",55.2993,-99,-5.175,-999,"Fixed point",2002/03/07,-99,-99,53,50.53,0.99,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
575517,"CTD or STD cast","CTD/STD cast","research vessel",53.5843,-99,-5.7652,-999,"Fixed point",2001/11/05,-99,-99,69,67.38,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
631970,"CTD or STD cast","CTD/STD cast","research vessel",56.2002,-99,-7.3643,-999,"Fixed point",2003/11/28,-99,-99,104,99.06,0.99,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
923149,"CTD or STD cast","CTD/STD cast","research vessel",55.452,-99,-4.8105,-999,"Fixed point",2008/11/19,-99,-99,62,60.44,2.97,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
845654,"CTD or STD cast","CTD/STD cast","lowered unmanned submersible",56.16152,-99,-6.65588,-999,"Fixed point",2003/08/05,2003/08/05,0,70,70,4,"Northern Seas Programme (NSP)","United Kingdom","Dunstaffnage Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
636022,"CTD or STD cast","CTD/STD cast","research vessel",54.7188,-99,-5.68,-999,"Fixed point",2003/03/11,-99,-99,17,14.86,0.99,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
845746,"CTD or STD cast","CTD/STD cast","lowered unmanned submersible",55.2527,-99,-5.79315,-999,"Fixed point",2003/08/05,2003/08/05,0,128,128,4,"Northern Seas Programme (NSP)","United Kingdom","Dunstaffnage Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
1028664,"CTD or STD cast","CTD/STD cast","research vessel",55.89833,-99,-6.71717,-999,"Fixed point",2009/11/21,-99,-99,67,65.39,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
617061,"CTD or STD cast","CTD/STD cast","research vessel",55.9568,-99,-6.6332,-999,"Fixed point",2002/03/18,-99,-99,51,48.55,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
709793,"CTD or STD cast","CTD/STD cast","research vessel",53.6605,-99,-5.95633,-999,"Fixed point",2005/03/23,-99,-99,42,38.65,2.97,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
563541,"CTD or STD cast","CTD/STD cast","research vessel",54.0335,-99,-5.1975,-999,"Fixed point",2000/11/26,-99,-99,80,77.29,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
636010,"CTD or STD cast","CTD/STD cast","research vessel",55.4608,-99,-4.8217,-999,"Fixed point",2003/03/09,-99,-99,65,60.44,3.96,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
923137,"CTD or STD cast","CTD/STD cast","research vessel",55.28317,-99,-5.18067,-999,"Fixed point",2008/11/19,-99,-99,50,48.55,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
845642,"CTD or STD cast","CTD/STD cast","lowered unmanned submersible",56.18688,-99,-6.72652,-999,"Fixed point",2003/08/05,2003/08/05,0,60,60,4,"Northern Seas Programme (NSP)","United Kingdom","Dunstaffnage Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
572010,"CTD or STD cast","CTD/STD cast","research vessel",55.289,-99,-5.1888,-999,"Fixed point",2001/03/05,-99,-99,52,48.55,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
563412,"CTD or STD cast","CTD/STD cast","research vessel",55.403,-99,-6.7508,-999,"Fixed point",2000/11/22,-99,-99,80,73.32,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
1028652,"CTD or STD cast","CTD/STD cast","research vessel",55.70233,-99,-5.13717,-999,"Fixed point",2009/11/20,-99,-99,165,159.48,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
636009,"CTD or STD cast","CTD/STD cast","research vessel",55.2852,-99,-5.1848,-999,"Fixed point",2003/03/09,-99,-99,51,45.58,3.96,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
563553,"CTD or STD cast","CTD/STD cast","research vessel",54.2592,-99,-4.9707,-999,"Fixed point",2000/11/26,-99,-99,103,88.18,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
572009,"CTD or STD cast","CTD/STD cast","research vessel",55.4573,-99,-4.821,-999,"Fixed point",2001/03/05,-99,-99,64,59.45,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
845630,"CTD or STD cast","CTD/STD cast","lowered unmanned submersible",56.21012,-99,-6.79757,-999,"Fixed point",2003/08/04,2003/08/04,0,68,68,4,"Northern Seas Programme (NSP)","United Kingdom","Dunstaffnage Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
631700,"CTD or STD cast","CTD/STD cast","research vessel",53.7663,-99,-4.5925,-999,"Fixed point",2003/11/21,-99,-99,57,52.52,0.99,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
636046,"CTD or STD cast","CTD/STD cast","research vessel",54.3497,-99,-4.9493,-999,"Fixed point",2003/03/11,-99,-99,107,98.09,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
727923,"CTD or STD cast","CTD/STD cast","research vessel",55.41267,-99,-6.7505,-999,"Fixed point",2006/11/29,-99,-99,78,76.29,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
563565,"CTD or STD cast","CTD/STD cast","research vessel",54.5223,-99,-5.2617,-999,"Fixed point",2000/11/26,-99,-99,127,120.87,3.96,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
572114,"CTD or STD cast","CTD/STD cast","research vessel",54.0393,-99,-5.1905,-999,"Fixed point",2001/03/08,-99,-99,83,76.3,3.96,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
845629,"CTD or STD cast","CTD/STD cast","lowered unmanned submersible",56.23752,-99,-6.86822,-999,"Fixed point",2003/08/04,2003/08/04,0,67,64,4,"Northern Seas Programme (NSP)","United Kingdom","Dunstaffnage Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
636034,"CTD or STD cast","CTD/STD cast","research vessel",54.5648,-99,-5.1307,-999,"Fixed point",2003/03/11,-99,-99,127,103.04,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
727911,"CTD or STD cast","CTD/STD cast","research vessel",55.533,-99,-7.0805,-999,"Fixed point",2006/11/29,-99,-99,80,77.28,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
658797,"CTD or STD cast","CTD/STD cast","research vessel",55.46117,-99,-4.81417,-999,"Fixed point",2004/03/12,-99,-99,61,59.45,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
845758,"CTD or STD cast","CTD/STD cast","lowered unmanned submersible",55.27828,-99,-5.73862,-999,"Fixed point",2003/08/05,2003/08/05,0,41,32,4,"Northern Seas Programme (NSP)","United Kingdom","Dunstaffnage Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
845617,"CTD or STD cast","CTD/STD cast","lowered unmanned submersible",56.26095,-99,-6.94015,-999,"Fixed point",2003/08/04,2003/08/04,0,70,66,4,"Northern Seas Programme (NSP)","United Kingdom","Dunstaffnage Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
572126,"CTD or STD cast","CTD/STD cast","research vessel",53.7702,-99,-5.5787,-999,"Fixed point",2001/03/08,-99,-99,98,93.13,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
563577,"CTD or STD cast","CTD/STD cast","research vessel",55.9257,-99,-6.6825,-999,"Fixed point",2000/11/27,-99,-99,61,54.49,0.99,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
1028627,"CTD or STD cast","CTD/STD cast","research vessel",55.366,-99,-6.73917,-999,"Fixed point",2009/11/20,-99,-99,78,77.28,3.96,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
845710,"CTD or STD cast","CTD/STD cast","lowered unmanned submersible",55.15645,-99,-5.99553,-999,"Fixed point",2003/08/05,2003/08/05,0,78,74,4,"Northern Seas Programme (NSP)","United Kingdom","Dunstaffnage Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
1032429,"CTD or STD cast","CTD/STD cast","research vessel",55.9205,-99,-5.067,-999,"Fixed point",2009/11/03,-99,-99,75,69.35,0.99,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
616684,"CTD or STD cast","CTD/STD cast","research vessel",54.0312,-99,-5.7417,-999,"Fixed point",2002/03/08,-99,-99,38,36.67,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
563504,"CTD or STD cast","CTD/STD cast","research vessel",53.8377,-99,-4.8162,-999,"Fixed point",2000/11/24,-99,-99,61,59.46,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
845605,"CTD or STD cast","CTD/STD cast","lowered unmanned submersible",56.28415,-99,-7.01008,-999,"Fixed point",2003/08/04,2003/08/04,0,75,68,4,"Northern Seas Programme (NSP)","United Kingdom","Dunstaffnage Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
572138,"CTD or STD cast","CTD/STD cast","research vessel",53.6693,-99,-5.9608,-999,"Fixed point",2001/03/08,-99,-99,41,36.66,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
845709,"CTD or STD cast","CTD/STD cast","lowered unmanned submersible",56.06447,-99,-6.37122,-999,"Fixed point",2003/08/05,2003/08/05,0,41,30,4,"Northern Seas Programme (NSP)","United Kingdom","Dunstaffnage Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
1028615,"CTD or STD cast","CTD/STD cast","research vessel",55.50883,-99,-7.07567,-999,"Fixed point",2009/11/20,-99,-99,75,72.33,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
1032417,"CTD or STD cast","CTD/STD cast","research vessel",55.85733,-99,-5.038,-999,"Fixed point",2009/11/03,-99,-99,53,45.58,0.99,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
713952,"CTD or STD cast","CTD/STD cast","research vessel",56.36067,-99,-6.8405,-999,"Fixed point",2005/12/02,-99,-99,76,69.35,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
923174,"CTD or STD cast","CTD/STD cast","research vessel",55.52233,-99,-7.06533,-999,"Fixed point",2008/11/20,-99,-99,79,76.29,2.97,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
616672,"CTD or STD cast","CTD/STD cast","research vessel",54.036,-99,-5.2082,-999,"Fixed point",2002/03/08,-99,-99,85,81.25,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
728023,"CTD or STD cast","CTD/STD cast","research vessel",56.223,-99,-7.2295,-999,"Fixed point",2006/12/02,-99,-99,94,89.16,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
572151,"CTD or STD cast","CTD/STD cast","research vessel",54.0243,-99,-5.7397,-999,"Fixed point",2001/03/08,-99,-99,44,38.65,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
653338,"CTD or STD cast","CTD/STD cast","research vessel",56.05667,-99,-6.02783,-999,"Fixed point",2004/10/16,-99,-99,35,30.72,0.99,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,Y,"BODC Data Licence Agreement"
563516,"CTD or STD cast","CTD/STD cast","research vessel",53.5802,-99,-5.7458,-999,"Fixed point",2000/11/24,-99,-99,74,71.35,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
845734,"CTD or STD cast","CTD/STD cast","lowered unmanned submersible",55.21807,-99,-5.86505,-999,"Fixed point",2003/08/05,2003/08/05,0,124,116,4,"Northern Seas Programme (NSP)","United Kingdom","Dunstaffnage Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
563424,"CTD or STD cast","CTD/STD cast","research vessel",55.4415,-99,-4.8585,-999,"Fixed point",2000/11/23,-99,-99,68,63.41,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
713940,"CTD or STD cast","CTD/STD cast","research vessel",56.18567,-99,-7.39233,-999,"Fixed point",2005/12/02,-99,-99,106,98.07,2.97,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
1032405,"CTD or STD cast","CTD/STD cast","research vessel",55.94067,-99,-5.192,-999,"Fixed point",2009/11/03,-99,-99,38,31.71,0.99,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
923162,"CTD or STD cast","CTD/STD cast","research vessel",55.3595,-99,-6.73783,-999,"Fixed point",2008/11/20,-99,-99,80,70.35,3.96,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
572163,"CTD or STD cast","CTD/STD cast","research vessel",54.2643,-99,-4.9688,-999,"Fixed point",2001/03/09,-99,-99,104,99.08,3.96,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
616660,"CTD or STD cast","CTD/STD cast","research vessel",54.5137,-99,-5.217,-999,"Fixed point",2002/03/07,-99,-99,141,138.7,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
617048,"CTD or STD cast","CTD/STD cast","research vessel",56.3592,-99,-6.8318,-999,"Fixed point",2002/03/18,-99,-99,77,75.29,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
713939,"CTD or STD cast","CTD/STD cast","research vessel",55.99483,-99,-7.21367,-999,"Fixed point",2005/12/02,-99,-99,114,106.99,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
563528,"CTD or STD cast","CTD/STD cast","research vessel",53.4265,-99,-5.8973,-999,"Fixed point",2000/11/24,-99,-99,45,36.67,0.99,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
1028640,"CTD or STD cast","CTD/STD cast","research vessel",55.44617,-99,-4.82267,-999,"Fixed point",2009/11/20,-99,-99,60,55.49,0.99,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
563436,"CTD or STD cast","CTD/STD cast","research vessel",55.2923,-99,-5.1802,-999,"Fixed point",2000/11/23,-99,-99,53,49.54,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
1028639,"CTD or STD cast","CTD/STD cast","research vessel",55.2765,-99,-5.18783,-999,"Fixed point",2009/11/20,-99,-99,51,47.56,2.97,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
845722,"CTD or STD cast","CTD/STD cast","lowered unmanned submersible",55.18842,-99,-5.93012,-999,"Fixed point",2003/08/05,2003/08/05,0,133,122,4,"Northern Seas Programme (NSP)","United Kingdom","Dunstaffnage Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
616659,"CTD or STD cast","CTD/STD cast","research vessel",54.7297,-99,-5.5995,-999,"Fixed point",2002/03/07,-99,-99,31,27.75,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
572175,"CTD or STD cast","CTD/STD cast","research vessel",54.206,-99,-5.3983,-999,"Fixed point",2001/03/09,-99,-99,58,52.52,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
923150,"CTD or STD cast","CTD/STD cast","research vessel",55.7085,-99,-5.10967,-999,"Fixed point",2008/11/19,-99,-99,101,76.29,2.97,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
713927,"CTD or STD cast","CTD/STD cast","research vessel",55.939,-99,-6.68583,-999,"Fixed point",2005/12/02,-99,-99,63,55.48,2.97,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
631620,"CTD or STD cast","CTD/STD cast","research vessel",55.4152,-99,-5.8997,-999,"Fixed point",2003/11/19,-99,-99,69,67.37,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
657211,"CTD or STD cast","CTD/STD cast","research vessel",54.29883,-99,-4.97967,-999,"Fixed point",2004/11/26,-99,-99,117,114.93,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,Y,"BODC Data Licence Agreement"
1033710,"CTD or STD cast","CTD/STD cast","research vessel",55.83133,-99,-5.1735,-999,"Fixed point",2009/11/03,-99,-99,68,61.43,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
925470,"CTD or STD cast","CTD/STD cast","research vessel",56.1585,-99,-5.78983,-999,"Fixed point",2008/10/09,-99,-99,133,95.1,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
572187,"CTD or STD cast","CTD/STD cast","research vessel",54.5117,-99,-5.1735,-999,"Fixed point",2001/03/09,-99,-99,144,132.75,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
631761,"CTD or STD cast","CTD/STD cast","research vessel",54.507,-99,-5.1667,-999,"Fixed point",2003/11/23,-99,-99,129,117.9,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
631619,"CTD or STD cast","CTD/STD cast","research vessel",55.2217,-99,-5.2118,-999,"Fixed point",2003/11/19,-99,-99,50,48.55,0.99,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
658828,"CTD or STD cast","CTD/STD cast","research vessel",54.51333,-99,-5.1675,-999,"Fixed point",2004/03/12,-99,-99,143,141.67,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
