BODC reference,Oceanographic data type,Instrument,Platform,Latitude A,Latitude B,Longitude A,Longitude B,Positional definition,Start date,End date,Series duration (days),Sea floor depth (m),Series depth minimum (m),Series depth maximum (m),Project,Country,Organisation,Quality control (QC),Series availability,Warnings,Licence ///20
1085922,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.25,-99,-4.217,-999,Fixed point,29/03/2004,-99,-99,55,52,2,Western Channel Observatory 2002 - 2007,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1086384,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.25,-99,-4.217,-999,Fixed point,10/10/2005,-99,-99,55,52,2,Western Channel Observatory 2002 - 2007,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1108086,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,51.46817,-99,-6.42583,-999,Fixed point,10/08/2003,10/08/2003,0,100,88.25,2.25,Seasonal Thermocline Production Control,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,BODC Data Licence Agreement
1086765,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.25,-99,-4.217,-999,Fixed point,12/09/2006,-99,-99,55,56,2,Western Channel Observatory 2002 - 2007,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1087897,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.2525,-99,-4.21654,-999,Fixed point,19/07/2011,19/07/2011,0,55,54.75,2,Oceans 2025 Theme 10 SO10:WCO,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1107488,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,51.72167,-99,-7.00033,-999,Fixed point,03/08/2003,03/08/2003,0,76,61.25,2.25,Seasonal Thermocline Production Control,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,BODC Data Licence Agreement
737481,CTD or STD cast,CTD/STD cast,research vessel,50.03767,-99,-7.63417,-999,Fixed point,20/07/2005,-99,-99,120,107.22,3.85,Seasonal Thermocline Production Control,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,BODC Data Licence Agreement
1085909,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.25,-99,-4.217,-999,Fixed point,08/03/2004,-99,-99,55,49.5,2,Western Channel Observatory 2002 - 2007,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1048143,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.2516,-99,-4.2164,-999,Fixed point,31/08/2010,31/08/2010,0,55,50.75,2,Oceans 2025 Theme 10 SO10:WCO,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1107359,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,52.56667,-99,-5.46683,-999,Fixed point,03/08/2003,03/08/2003,0,77.2,66.25,2.25,Seasonal Thermocline Production Control,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,BODC Data Licence Agreement
