No.,River,Location,"Area (km 2 )","Data period",Download
85003,Falloch,"Glen Falloch",80.3,1970-2011,Y
85004,"Luss Water",Luss,35.3,1976-2011,Y
86001,"Little Eachaig",Dalinlongart,30.8,1968-2007,Y
89003,Orchy,"Glen Orchy",251.2,1977-2011,Y
89006,Avich,"Barnaline Lodge",32.1,1980-2011,Y
89007,"Abhainn a' Bhealaich",Braevallich,24.1,1981-2011,Y
90003,Nevis,Claggan,69.2,1982-2011,Y
92001,Shiel,Shielfoot,256,1995-2011,Y
93001,Carron,"New Kelso",137.8,1979-2011,Y
94001,Ewe,Poolewe,441.1,1970-2011,Y
95001,Inver,"Little Assynt",137.5,1977-2011,Y
96001,Halladale,Halladale,204.6,1976-2011,Y
96002,Naver,Apigill,477,1977-2011,Y
96004,Strathmore,Allnabad,105,1987-2011,Y
97002,Thurso,Halkirk,412.8,1972-2011,Y
101005,"Eastern Yar",Budbridge,22.5,1982-2011,Y
102001,Cefni,Bodffordd,21.7,1988-2011,Y
201005,Camowen,"Camowen Terrace",276.6,1972-2011,Y
201007,"Burn Dennet",Burndennet,148.3,1975-2011,Y
201008,Derg,Castlederg,335.4,1975-2011,Y
201010,Mourne,"Drumnabuoy House",1843.8,1982-2011,Y
202002,Faughan,Drumahoe,273.1,1976-2011,Y
203010,Blackwater,"Maydown Bridge",970.2,1970-2011,Y
203012,Ballinderry,"Ballinderry Bridge",430.2,1970-2011,Y
203018,"Six-Mile Water",Antrim,277.6,1970-2011,Y
203020,Moyola,"Moyola New Bridge",304.3,1971-2011,Y
203024,Cusher,"Gamble's Bridge",170.7,1971-2011,Y
203028,Agivey,Whitehill,100.5,1972-2011,Y
203039,Clogh,Tullynewey,98.7,1983-2011,Y
203040,"Lower Bann",Movanagher,5209.8,1980-2011,Y
203042,Crumlin,"Cidercourt Bridge",55.3,1981-2011,Y
203093,Main,"Shane's Viaduct",707.4,1983-2011,Y
204001,Bush,"Seneirl Bridge",299.2,1972-2011,Y
205004,Lagan,Newforge,491.6,1972-2011,Y
205008,Lagan,Drumiller,84.6,1974-2011,Y
205011,Annacloy,"Kilmore Bridge",186.6,1979-2011,Y
205020,Enler,Comber,61.8,1983-2011,Y
206001,Clanrye,"Mountmill Bridge",120.3,1974-2011,Y
236007,Sillees,"Drumrainey Bridge",166.3,1981-2011,Y
