latdd,longdd,station,code
39.650000,141.966667,MIYAKO II,642012
39.266667,141.900000,KAMAISI II,642017
39.066667,141.716667,OFUNATO I,642021
39.016667,141.750000,OFUNATO II,642022
38.433333,141.466667,ONAGAWA,642028
38.300000,141.516667,AYUKAWA,642031
37.833333,140.966667,SOMA,642036
36.933333,140.916667,ONAHAMA,642041
35.733333,140.866667,CHOSHI-GYOKO,642050
35.733333,140.866667,CHOSHI I,642051
35.133333,140.250000,KATSUURA,642055
34.916667,139.833333,MERA,642061
35.666667,139.766667,TUKIZI,642063
35.650000,139.766667,TOKYO III,642069
35.666667,139.766667,TOKYO I,642070
35.650000,139.766667,TOKYO II,642071
35.633333,139.750000,SIBAURA,642072
35.283333,139.650000,YOKOSUKA,642081
35.150000,139.616667,ABURATSUBO,642091
33.133333,139.800000,KAMINATO II (HATIZYO SIMA),642097
34.066667,139.483333,MIYAKE SIMA,642098
34.200000,139.133333,KOZU SIMA,642099
34.783333,139.400000,OKADA,642100
34.966667,139.116667,ITO I,642111
34.900000,139.133333,ITO II,642112
34.616667,138.883333,MINAMI IZU,642115
35.016667,138.900000,UCHIURA,642118
34.800000,138.766667,TAGO,642119
35.016667,138.500000,SHIMIZU-MINATO,642121
34.866667,138.333333,YAIZU,642122
34.600000,138.233333,OMAEZAKI II,642124
34.683333,137.616667,MAISAKA,642126
34.900000,136.833333,ONISAKI,642128
35.083333,136.883333,NAGOYA,642131
35.083333,136.883333,NAGOYA II,642132
34.466667,136.850000,TOBA,642134
34.066667,136.216667,OWASE,642136
33.550000,135.900000,URAGAMI,642138
33.466667,135.783333,KUSHIMOTO,642141
33.683333,135.383333,SHIRAHAMA,643005
34.150000,135.200000,KAINAN,643013
34.216667,135.150000,WAKAYAMA,643015
34.333333,135.183333,TAN-NOWA,643017
34.650000,135.433333,OSAKA,643021
34.683333,135.183333,KOBE,643024
34.683333,135.200000,KOBE II,643025
34.333333,134.916667,SUMOTO,643026
34.500000,133.950000,UNO,643031
34.233333,132.533333,KURE II,643041
34.233333,132.550000,KURE III,643042
34.233333,132.550000,KURE IV,643043
34.350000,132.466667,HIROSIMA,643044
34.033333,131.800000,TOKUYAMA I,643051
34.033333,131.800000,TOKUYAMA II,643052
33.500000,133.583333,KOCHI II,644002
33.333333,133.250000,KURE I,644004
32.783333,132.966667,TOSA SHIMIZU,644011
33.233333,132.550000,UWAJIMA I,644021
33.233333,132.550000,UWAJIMA II,644022
33.866667,132.700000,MATSUYAMA I,644031
33.866667,132.700000,MATSUYAMA II,644032
34.350000,134.050000,TAKAMATSU,644041
